Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual
249,-178.9,-178.9,-176.79629,-182.6,-182.6,-182.88287,-2.10371,-2.10371,0.28287,0.28287,4.42558,4.42558,0.08001,0.08001,0.005755,0.005755,0.0001041,0.0001041
250,-178.6,-178.6,-176.56752,-182.6,-182.6,-182.87627,-2.03248,-2.03248,0.27627,0.27627,4.13099,4.13099,0.07633,0.07633,0.0053719,0.0053719,0.0000993,0.0000993
251,-178.3,-178.3,-176.32791,-182.6,-182.6,-182.87146,-1.97209,-1.97209,0.27146,0.27146,3.88913,3.88913,0.07369,0.07369,0.0050574,0.0050574,0.0000958,0.0000958
252,-178,-178,-176.0434,-182.7,-182.6,-182.86664,-1.9566,-1.9566,0.16664,0.26664,3.82829,3.82829,0.02777,0.0711,0.0049783,0.0049783,0.0000361,0.0000925
253,-177.5,-177.5,-175.75888,-182.7,-182.6,-182.86183,-1.74112,-1.74112,0.16183,0.26183,3.03149,3.03149,0.02619,0.06855,0.0039421,0.0039421,0.0000341,0.0000891
254,-177,-177,-175.41185,-182.8,-182.6,-182.85701,-1.58815,-1.58815,0.05701,0.25701,2.52223,2.52223,0.00325,0.06605,0.0032799,0.0032799,0.0000042,0.0000859
255,-176.4,-176.4,-175.01478,-182.8,-182.6,-182.8522,-1.38522,-1.38522,0.0522,0.2522,1.91884,1.91884,0.00272,0.0636,0.0024952,0.0024952,0.0000035,0.0000827
256,-175.9,-175.9,-174.59985,-182.9,-182.6,-182.84738,-1.30015,-1.30015,-0.05262,0.24738,1.69038,1.69038,0.00277,0.0612,0.0021982,0.0021982,0.0000036,0.0000796
257,-175.5,-175.5,-174.18434,-182.9,-182.6,-182.84257,-1.31566,-1.31566,-0.05743,0.24257,1.73096,1.73096,0.0033,0.05884,0.0022509,0.0022509,0.0000043,0.0000765
258,-175.3,-175.3,-173.77104,-183,-182.6,-182.83775,-1.52896,-1.52896,-0.16225,0.23775,2.33772,2.33772,0.02632,0.05653,0.00304,0.00304,0.0000342,0.0000735
259,-175.3,-175.3,-173.35677,-183,-182.6,-182.83294,-1.94323,-1.94323,-0.16706,0.23294,3.77616,3.77616,0.02791,0.05426,0.0049105,0.0049105,0.0000363,0.0000706
260,-175.2,-175.2,-172.94588,-183.1,-182.6,-182.80203,-2.25412,-2.25412,-0.29797,0.20203,5.08104,5.08104,0.08879,0.04082,0.0066073,0.0066073,0.0001155,0.0000531
261,-175.2,-175.2,-172.5462,-183.1,-182.6,-182.76657,-2.6538,-2.6538,-0.33343,0.16657,7.04267,7.04267,0.11118,0.02774,0.0091582,0.0091582,0.0001446,0.0000361
262,-175,-175,-172.14651,-183.1,-182.6,-182.73111,-2.85349,-2.85349,-0.36889,0.13111,8.1424,8.1424,0.13608,0.01719,0.0105883,0.0105883,0.000177,0.0000224
263,-174.7,-174.7,-171.74729,-183.2,-182.6,-182.69564,-2.95271,-2.95271,-0.50436,0.09564,8.71851,8.71851,0.25438,0.00915,0.0113375,0.0113375,0.0003308,0.0000119
264,-174.5,-174.5,-171.34991,-183.2,-182.6,-182.66018,-3.15009,-3.15009,-0.53982,0.06018,9.92306,9.92306,0.29141,0.00362,0.0129038,0.0129038,0.0003789,0.0000047
265,-174.4,-174.4,-170.95159,-183.2,-182.6,-182.6365,-3.44841,-3.44841,-0.5635,0.0365,11.89155,11.89155,0.31753,0.00133,0.0154637,0.0154637,0.0004129,0.0000017
266,-174.3,-174.3,-170.56272,-183.2,-182.6,-182.65491,-3.73728,-3.73728,-0.54509,0.05491,13.96728,13.96728,0.29712,0.00302,0.0181629,0.0181629,0.0003864,0.0000039
267,-174,-174,-170.20924,-183.2,-182.6,-182.67333,-3.79076,-3.79076,-0.52667,0.07333,14.36985,14.36985,0.27738,0.00538,0.0186864,0.0186864,0.0003607,0.000007
268,-173.5,-173.5,-169.91848,-183.3,-182.6,-182.69174,-3.58152,-3.58152,-0.60826,0.09174,12.82731,12.82731,0.36998,0.00842,0.0166805,0.0166805,0.0004811,0.0000109
269,-172.8,-172.8,-169.6622,-183.3,-182.6,-182.71015,-3.1378,-3.1378,-0.58985,0.11015,9.84576,9.84576,0.34792,0.01213,0.0128033,0.0128033,0.0004524,0.0000158
270,-172.1,-172.1,-169.48221,-183.3,-182.6,-182.72856,-2.61779,-2.61779,-0.57144,0.12856,6.85284,6.85284,0.32654,0.01653,0.0089114,0.0089114,0.0004246,0.0000215
271,-171.4,-171.4,-169.50524,-183.2,-182.6,-182.74697,-1.89476,-1.89476,-0.45303,0.14697,3.59011,3.59011,0.20523,0.0216,0.0046685,0.0046685,0.0002669,0.0000281
272,-170.8,-170.8,-169.62272,-183.2,-182.6,-182.78718,-1.17728,-1.17728,-0.41282,0.18718,1.38599,1.38599,0.17042,0.03504,0.0018023,0.0018023,0.0002216,0.0000456
